S: people         , V: have           , O: wrath          
S: people         , V: have           , O: hands          
S: county         , V: have           , O: duty           
S: sheriff        , V: convene        , O: court          
S: sheriff        , V: try            , O: criminals      
S: bailey         , V: serve          , O: sentences      
S: bailey         , V: try            , O: afternoon      
S: bailey         , V: try            , O: whom           
S: jury           , V: recommend      , O: florence       
S: gardner        , V: recommend      , O: mercy          
S: bailey         , V: have           , O: sentence       
S: murderer       , V: have           , O: jail           
S: negro          , V: kill           , O: king           
S: correspondent  , V: learn          , O: particulars    
S: king           , V: have           , O: quarrel        
S: harris         , V: make           , O: threats        
S: harris         , V: make           , O: them           
S: harris         , V: say            , O: what           
S: harris         , V: have           , O: house          
S: harris         , V: have           , O: gun            
S: harris         , V: arrest         , O: trial          
S: harris         , V: give           , O: trial          
S: harris         , V: have           , O: neck           
S: king           , V: leave          , O: wife           
S: coroner        , V: have           , O: afternoon      
S: bailey         , V: serve          , O: sentences      
S: jury           , V: recommend      , O: florence       
S: bailey         , V: have           , O: sentence       
S: correspondent  , V: learn          , O: them           
S: king           , V: have           , O: quarrel        
S: harris         , V: make           , O: threats        
S: harris         , V: arrest         , O: trial          
S: harris         , V: give           , O: trial          
S: night          , V: o'             , O: $              
