S: our            , V: has            , O: columns        
S: our            , V: has            , O: courts         
S: people         , V: has            , O: wrath          
S: people         , V: has            , O: hands          
S: considerations , V: drove          , O: mob            
S: saturday       , V: has            , O: hands          
S: its            , V: has            , O: uncertainty    
S: outrage        , V: made           , O: cry            
S: its            , V: has            , O: perpetrators   
S: its            , V: has            , O: perpetrators   
S: county         , V: has            , O: duty           
S: sheriff        , V: conven         , O: court          
S: sheriff        , V: tri            , O: criminals      
S: consideration  , V: prompt         , O: mob            
S: negroes        , V: has            , O: lives          
S: lynch          , V: has            , O: work           
S: bailey         , V: serv           , O: sentences      
S: his            , V: has            , O: son            
S: bailey         , V: tri            , O: afternoon      
S: juries         , V: return         , O: verdict        
S: bailey         , V: tri            , O: whom           
S: jury           , V: recommend      , O: florence       
S: gardner        , V: recommend      , O: mercy          
S: bailey         , V: have           , O: sentence       
S: murderer       , V: has            , O: jail           
S: negro          , V: kill           , O: king           
S: your           , V: has            , O: correspondent  
S: correspondent  , V: learn          , O: particulars    
S: king           , V: had            , O: quarrel        
S: harris         , V: make           , O: threats        
S: harris         , V: made           , O: them           
S: harris         , V: said           , O: what           
S: harris         , V: has            , O: house          
S: harris         , V: has            , O: gun            
S: load           , V: enter          , O: king           
S: harris         , V: arrest         , O: trial          
S: harris         , V: given          , O: trial          
S: officers       , V: has            , O: prisoner       
S: harris         , V: has            , O: neck           
S: postoffice     , V: has            , O: section        
S: king           , V: leav           , O: wife           
S: their          , V: has            , O: tracks         
S: their          , V: has            , O: number         
S: coroner        , V: has            , O: afternoon      
