S: we             , V: protect        , O: women          
S: our            , V: has            , O: women          
S: constitution   , V: devot          , O: page           
S: plan           , V: fore           , O: legislature    
S: oates          , V: express        , O: winchester     
S: my             , V: has            , O: suggestion     
S: homes          , V: made           , O: arsenals       
S: women          , V: has            , O: persons        
S: women          , V: taught         , O: use            
S: districts      , V: has            , O: protectors     
S: her            , V: has            , O: honor          
S: my             , V: have           , O: county         
S: negro          , V: has            , O: ears           
S: negro          , V: has            , O: anatomy        
S: negro          , V: has            , O: life           
S: wretch         , V: has            , O: fate           
S: saffold        , V: has            , O: wife           
S: saffold        , V: has            , O: presence       
S: darkey         , V: has            , O: hut            
S: agent          , V: inform         , O: authorities    
S: saffold        , V: has            , O: presence       
S: negro          , V: gave           , O: j.e.           
S: saffold        , V: has            , O: name           
S: ogletree       , V: has            , O: assailants     
S: ogletree       , V: bind           , O: him            
S: other          , V: hang           , O: sammin         
S: other          , V: riddl          , O: body           
S: sammin         , V: has            , O: body           
S: party          , V: has            , O: scalps         
S: gang           , V: rob            , O: j.e.           
S: ogletree       , V: bind           , O: him            
S: mob            , V: lynch          , O: ryder          
S: atkinson       , V: has            , O: names          
S: atkinson       , V: has            , O: possession     
S: mob            , V: number         , O: 15             
S: atkinson       , V: express        , O: determination  
S: atkinson       , V: has            , O: determination  
S: atkinson       , V: has            , O: office         
S: mob            , V: estim          , O: shooting       
S: he             , V: assault        , O: girl           
S: his            , V: has            , O: body           
S: girl           , V: protect        , O: negro          
S: dog            , V: own            , O: attack         
S: dog            , V: unconsci       , O: attack         
S: her            , V: has            , O: father         
S: men            , V: call           , O: jones          
S: jones          , V: has            , O: wife           
S: jones          , V: maltreat       , O: men            
S: prisoner       , V: has            , O: neck           
S: several        , V: drag           , O: prisoner       
S: morning        , V: took           , O: possession     
S: hours          , V: shot           , O: blacks         
S: hours          , V: beat           , O: blacks         
S: negro          , V: assault        , O: arnold         
S: neighbor       , V: has            , O: house          
S: news           , V: began          , O: gathering      
S: mob            , V: fill           , O: streets        
S: minutes        , V: fill           , O: streets        
S: citizens       , V: begin          , O: war            
S: record         , V: includ         , O: cases          
S: negresses      , V: attempt        , O: murder         
S: higgins        , V: doubl          , O: murder         
S: negro          , V: has            , O: body           
S: man            , V: has            , O: skull          
S: coroner        , V: has            , O: verdict        
S: man            , V: has            , O: death          
