S: we             , V: protect        , O: women          
S: negro          , V: has            , O: ears           
S: negro          , V: has            , O: anatomy        
S: negro          , V: has            , O: life           
S: darkey         , V: has            , O: hut            
S: agent          , V: inform         , O: authorities    
S: negro          , V: gave           , O: j.e.           
S: gang           , V: rob            , O: j.e.           
S: mob            , V: lynch          , O: ryder          
S: mob            , V: number         , O: 15             
S: mob            , V: estim          , O: shooting       
S: girl           , V: protect        , O: negro          
S: prisoner       , V: has            , O: neck           
S: negro          , V: assault        , O: arnold         
S: neighbor       , V: has            , O: house          
S: mob            , V: fill           , O: streets        
S: negro          , V: has            , O: body           
S: man            , V: has            , O: skull          
S: coroner        , V: has            , O: verdict        
S: man            , V: has            , O: death          
