Verb,Frequency Verb,WordNet,PC-ACE Verbal Phrase,Student check (if social action put an X in the appropriate cell),Confirmed social verb
lynch,890,x,x,x,x
read,30,x,,x,x
tell,662,x,x,x,x
drive,189,x,x,x,x
take,2022,x,x,x,x
make,1255,x,x,x,x
commit,391,x,,x,x
bring,633,x,x,x,x
arrest,413,x,x,x,x
identify,280,x,x,x,x
do,1127,x,,x,x
convene,26,x,,x,x
try,242,x,x,x,x
save,98,x,,x,x
go,1392,x,x,x,x
revolt,6,x,,x,x
deplore,27,x,x,x,x
dare,9,x,x,x,x
get,656,x,x,x,x
convict,85,x,,x,x
return,422,x,x,x,x
call,362,x,x,x,x
charge,219,x,x,x,x
find,1050,x,x,x,x
sentence,56,x,x,x,x
agree,49,x,x,x,x
declare,70,x,,x,x
recommend,12,x,x,x,x
murder,149,x,x,x,x
give,696,x,x,x,x
kill,876,x,x,x,x
employ,66,x,,x,x
see,439,x,x,x,x
ask,359,x,x,x,x
reply,58,x,x,x,x
say,1628,x,x,x,x
run,379,x,x,x,x
fire,427,x,,x,x
enter,298,x,x,x,x
produce,30,x,,x,x
deny,86,x,x,x,x
suspend,32,x,,x,x
fear,84,,x,x,x
stand,116,x,x,x,x
hang,493,x,x,x,x
report,280,x,,x,x
shot,883,,x,x,x
attempt,416,x,x,x,x
assault,226,x,x,x,x
reach,374,x,x,x,x
saw,239,x,x,x,x
capture,342,x,x,x,x
order,140,x,x,x,x
leave,233,x,x,x,x
depart,13,x,x,x,x
organize,87,x,x,x,x
force,142,x,x,x,x
carry,672,x,x,x,x
contain,33,x,,x,x
chop,4,x,,x,x
lead,219,x,,x,x
steal,84,x,x,x,x
tie,201,x,x,x,x
discover,117,x,x,x,x
pretend,12,x,x,x,x
threaten,83,x,,x,x
act,59,x,,x,x
break,234,x,x,x,x
swing,189,x,x,x,x
knock,62,x,,x,x
know,748,x,x,x,x
dance,6,x,,x,x
die,272,x,x,x,x
hunt,18,x,x,x,x
need,,,x,x,x
start,291,x,x,x,x
stop,179,x,x,x,x
puncture,9,x,,x,x
plough,2,x,,x,x
indict,34,x,x,x,x
catch,243,x,x,x,x
drag,178,x,,x,x
pursue,80,x,x,x,x
arrive,196,x,x,x,x
bind,78,x,,x,x
wound,227,,x,x,x
avenge,53,,x,x,x
attack,133,x,x,x,x
apply,47,x,x,x,x
receive,249,x,x,x,x
conceal,54,x,x,x,x
follow,354,x,x,x,x
spring,49,x,x,x,x
stroke,1,x,x,x,x
sever,19,x,,x,x
spread,85,x,x,x,x
shock,13,x,,x,x
